mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
656736-710717,AcLineSegment{656736},True,[Terminal{17338784-710717}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{710717-cn},710717-cn,Terminal{656736-710717},<generator object ngen at 0x0000015E8FE996C0>,Terminal{656736-710717}
28943429-292585,EnergyConsumer{28943429},True,"[Terminal{545091-292585}, Terminal{579568-292585}, Terminal{709914-292585}, Terminal{177677-292585}, Terminal{579532-292585}, Terminal{580401-292585}, Terminal{177678-292585}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{292585-cn},292585-cn,Terminal{28943429-292585},<generator object ngen at 0x0000015E8FE996C0>,Terminal{28943429-292585}
31781958-77501,PowerTransformer{31781958|CLIFTON-DAVID},True,[Terminal{48759-77501}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{77501-cn},77501-cn,Terminal{31781958-77501},<generator object ngen at 0x0000015E8FE996C0>,Terminal{31781958-77501}
541424-620670,AcLineSegment{541424},True,"[Terminal{541425-620670}, Terminal{665729-620670}, Terminal{141064-620670}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{620670-cn},620670-cn,Terminal{541424-620670},<generator object ngen at 0x0000015E8FE996C0>,Terminal{541424-620670}
431865-536043,AcLineSegment{431865},True,[Terminal{30572256-536043}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{536043-cn},536043-cn,Terminal{431865-536043},<generator object ngen at 0x0000015E8FE996C0>,Terminal{431865-536043}
21052323-538360,EnergyConsumer{21052323},True,[Terminal{434565-538360}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{538360-cn},538360-cn,Terminal{21052323-538360},<generator object ngen at 0x0000015E8FE996C0>,Terminal{21052323-538360}
16230-47028,AcLineSegment{16230},True,[Terminal{718460-47028}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{47028-cn},47028-cn,Terminal{16230-47028},<generator object ngen at 0x0000015E8FE996C0>,Terminal{16230-47028}
17337765-268775,EnergyConsumer{17337765},True,[Terminal{532044-268775}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{268775-cn},268775-cn,Terminal{17337765-268775},<generator object ngen at 0x0000015E8FE996C0>,Terminal{17337765-268775}
152939-268972,AcLineSegment{152939},True,"[Terminal{682467-268972}, Terminal{29218114-268972}, Terminal{152937-268972}, Terminal{661143-268972}, Terminal{152940-268972}, Terminal{152938-268972}, Terminal{641833-268972}, Terminal{641834-268972}, Terminal{532445-268972}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{268972-cn},268972-cn,Terminal{152939-268972},<generator object ngen at 0x0000015E8FE996C0>,Terminal{152939-268972}
15725446-274965,EnergyConsumer{15725446},True,"[Terminal{15795417-274965}, Terminal{685041-274965}, Terminal{603454-274965}, Terminal{144664-274965}, Terminal{685040-274965}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{274965-cn},274965-cn,Terminal{15725446-274965},<generator object ngen at 0x0000015E8FE996C0>,Terminal{15725446-274965}
712974-358338,Disconnector{712974},True,"[Terminal{211952-358338}, Terminal{211953-358338}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{358338-cn},358338-cn,Terminal{712974-358338},<generator object ngen at 0x0000015E8FE996C0>,Terminal{712974-358338}
