id,names,terminals,description,switch,num_terminals,is_switched
ConnectivityNode{276475-cn},[],"[Terminal{641455-276475}, Terminal{29218675-276475}, Terminal{641454-276475}]",,None,3,False
ConnectivityNode{575260-cn},[],"[Terminal{520124-575260}, Terminal{17348364-575260}, Terminal{520123-575260}]",,None,3,False
ConnectivityNode{397951-cn},[],"[Terminal{308109-397951}, Terminal{18010378-397951}]",,None,2,False
ConnectivityNode{283111-cn},[],"[Terminal{658812-283111}, Terminal{15710361-283111}]",,None,2,False
ConnectivityNode{399202-cn},[],"[Terminal{18475648-399202}, Terminal{309390-399202}]",,None,2,False
ConnectivityNode{616825-cn},[],"[Terminal{567639-616825}, Terminal{17348358-616825}]",,None,2,False
ConnectivityNode{632477-cn},[],"[Terminal{582562-632477}, Terminal{17337507-632477}]",,None,2,False
ConnectivityNode{603959-cn},[],"[Terminal{551830-603959}, Terminal{18250495-603959}]",,None,2,False
ConnectivityNode{236324-cn},[],"[Terminal{551819-236324}, Terminal{536956-236324}, Terminal{536954-236324}, Terminal{14413292-236324}]",,None,4,False
ConnectivityNode{162565-cn},[],"[Terminal{18010576-162565}, Terminal{409617-162565}]",,None,2,False
ConnectivityNode{572375-cn},[],"[Terminal{35509698-572375}, Terminal{135269-572375}]",,None,2,False
ConnectivityNode{558843-cn},[],"[Terminal{501235-558843}, Terminal{507518-558843}, Terminal{36701793-558843}, Terminal{507521-558843}]",,None,4,False
ConnectivityNode{674400-cn},[],"[Terminal{18009320-674400}, Terminal{649717-674400}]",,None,2,False
ConnectivityNode{98000-cn},[],"[Terminal{56379-98000}, Terminal{15784804-98000}]",,None,2,False
ConnectivityNode{643622-cn},[],"[Terminal{18009530-643622}, Terminal{603425-643622}]",,None,2,False
ConnectivityNode{595557-cn},[],"[Terminal{144200-595557}, Terminal{17356765-595557}]",,None,2,False
ConnectivityNode{323594-cn},[],"[Terminal{219484-323594}, Terminal{219485-323594}, Terminal{720361-323594}]",,Disconnector{720361},3,True
ConnectivityNode{318852-cn},[],"[Terminal{714341-318852}, Terminal{213759-318852}, Terminal{213760-318852}]",,Disconnector{714341},3,True
ConnectivityNode{38386-cn},[],"[Terminal{18656-38386}, Terminal{232490-38386}]",,None,2,False
ConnectivityNode{26742-cn},[],"[Terminal{428999-26742}, Terminal{12606-26742}]",,None,2,False
ConnectivityNode{619248-cn},[],"[Terminal{17338790-619248}, Terminal{569905-619248}]",,None,2,False
ConnectivityNode{307468-cn},[],[Terminal{723477-307468}],,Disconnector{723477},1,True
ConnectivityNode{369167-cn},[],[Terminal{280570-369167}],,None,1,False
ConnectivityNode{620667-cn},[],"[Terminal{571282-620667}, Terminal{18472542-620667}]",,None,2,False
ConnectivityNode{703583-cn},[],"[Terminal{29507929-703583}, Terminal{685940-703583}, Terminal{729641-703583}, Terminal{685941-703583}]",,Disconnector{729641},4,True
ConnectivityNode{250789-cn},[],"[Terminal{580463-250789}, Terminal{181864-250789}, Terminal{181497-250789}, Terminal{603442-250789}, Terminal{580037-250789}, Terminal{29218257-250789}, Terminal{654271-250789}, Terminal{603443-250789}, Terminal{183664-250789}, Terminal{583280-250789}]",,None,10,False
ConnectivityNode{8706-cn},[],"[Terminal{20091-8706}, Terminal{730428-8706}]",,Fuse{730428},2,True
ConnectivityNode{503445-cn},[],"[Terminal{18288710-503445}, Terminal{437307-503445}]",,None,2,False
ConnectivityNode{678524-cn},[],"[Terminal{18002555-678524}, Terminal{655298-678524}]",,None,2,False
ConnectivityNode{276600-cn},[],"[Terminal{641781-276600}, Terminal{30154517-276600}, Terminal{641780-276600}]",,None,3,False
ConnectivityNode{630087-cn},[],"[Terminal{580080-630087}, Terminal{18004525-630087}]",,None,2,False
ConnectivityNode{260146-cn},[],"[Terminal{539160-260146}, Terminal{603413-260146}, Terminal{644899-260146}, Terminal{675361-260146}, Terminal{603407-260146}, Terminal{603411-260146}, Terminal{644900-260146}, Terminal{579481-260146}, Terminal{603412-260146}]",,None,9,False
ConnectivityNode{383290-cn},[],"[Terminal{18276873-383290}, Terminal{293418-383290}]",,None,2,False
ConnectivityNode{52119-cn},[],"[Terminal{277287-52119}, Terminal{25789-52119}]",,None,2,False
ConnectivityNode{587788-cn},[],"[Terminal{17346257-587788}, Terminal{141085-587788}]",,None,2,False
ConnectivityNode{591294-cn},[],"[Terminal{15730190-591294}, Terminal{711356-591294}, Terminal{142642-591294}, Terminal{711357-591294}, Terminal{669556-591294}]",,None,5,False
ConnectivityNode{172566-cn},[],"[Terminal{23499357-172566}, Terminal{428996-172566}, Terminal{428995-172566}]",,None,3,False
ConnectivityNode{630233-cn},[],"[Terminal{580220-630233}, Terminal{17337902-630233}]",,None,2,False
ConnectivityNode{437845-cn},[],"[Terminal{351433-437845}, Terminal{18002478-437845}]",,None,2,False
ConnectivityNode{558852-cn},[],"[Terminal{36097983-558852}, Terminal{501242-558852}, Terminal{130276-558852}, Terminal{130278-558852}]",,None,4,False
ConnectivityNode{386032-cn},[],"[Terminal{15714233-386032}, Terminal{296064-386032}, Terminal{540650-386032}, Terminal{296063-386032}]",,None,4,False
ConnectivityNode{671269-cn},[],"[Terminal{727747-671269}, Terminal{176662-671269}]",,Disconnector{727747},2,True
ConnectivityNode{508775-cn},[],"[Terminal{443194-508775}, Terminal{28894016-508775}]",,None,2,False
ConnectivityNode{699635-cn},[],"[Terminal{680858-699635}, Terminal{23040780-699635}]",,None,2,False
ConnectivityNode{281313-cn},[],"[Terminal{654377-281313}, Terminal{570462-281313}, Terminal{18008078-281313}]",,None,3,False
ConnectivityNode{280330-cn},[],"[Terminal{15511016-280330}, Terminal{651893-280330}, Terminal{531556-280330}]",,None,3,False
ConnectivityNode{496131-cn},[],"[Terminal{18551700-496131}, Terminal{96872-496131}, Terminal{103544-496131}]",,None,3,False
ConnectivityNode{343020-cn},[],"[Terminal{254400-343020}, Terminal{43557-343020}]",,Disconnector{254400},2,True
ConnectivityNode{586460-cn},[],"[Terminal{531984-586460}, Terminal{18002460-586460}]",,None,2,False
ConnectivityNode{46720-cn},[],"[Terminal{22986-46720}, Terminal{734028-46720}]",,Fuse{734028},2,True
ConnectivityNode{631970-cn},[],"[Terminal{189925-631970}, Terminal{15709435-631970}, Terminal{581986-631970}, Terminal{176709-631970}, Terminal{19702552-631970}]",,None,5,False
ConnectivityNode{26711-cn},[],"[Terminal{12590-26711}, Terminal{229783-26711}]",,None,2,False
ConnectivityNode{602478-cn},[],"[Terminal{550220-602478}, Terminal{17348262-602478}]",,None,2,False
ConnectivityNode{282232-cn},[],"[Terminal{181504-282232}, Terminal{18007665-282232}]",,None,2,False
ConnectivityNode{46559-cn},[],"[Terminal{39368-46559}, Terminal{22905-46559}, Terminal{39320-46559}]",,None,3,False
ConnectivityNode{101255-cn},[],[Terminal{286582-101255}],,None,1,False
ConnectivityNode{51884-cn},[],"[Terminal{25672-51884}, Terminal{96114-51884}]",,None,2,False
ConnectivityNode{633179-cn},[],"[Terminal{583339-633179}, Terminal{18002513-633179}]",,None,2,False
ConnectivityNode{584032-cn},[],"[Terminal{529698-584032}, Terminal{17338922-584032}]",,None,2,False
ConnectivityNode{477091-cn},[],"[Terminal{17337651-477091}, Terminal{407269-477091}]",,None,2,False
ConnectivityNode{344118-cn},[],"[Terminal{245262-344118}, Terminal{254364-344118}]",,Disconnector{254364},2,True
ConnectivityNode{527508-cn},[],"[Terminal{465121-527508}, Terminal{465122-527508}, Terminal{480206-527508}, Terminal{31397402-527508}]",,None,4,False
ConnectivityNode{109555-cn},[],"[Terminal{302283-109555}, Terminal{17356622-109555}]",,None,2,False
